Round,Wk,Day,Date,Time,Home,xG,Score,GF,GA,PenF,PenA,xG,Away,Attendance,Venue,Referee,Match Report,Notes,Referee,Match Report
Group stage,1,Fri,11/06/2021,21:00 (20:00),Turkey,0.2,0–3,0,3,,,1.7,Italy,"12,916",Stadio Olimpico (Neutral Site),Danny Makkelie,Match Report,,Daniele Orsato,Match Report
Group stage,1,Sat,12/06/2021,17:00 (14:00),Wales,0.5,1–1,1,1,,,1.4,Switzerland,"8,782",Bakı Olimpiya Stadionu (Neutral Site),Clément Turpin,Match Report,,Antonio Matéu Lahoz,Match Report
Group stage,1,Sat,12/06/2021,18:00 (17:00),Denmark,1.9,0–1,0,1,,,0.4,Finland,"13,790",Telia Parken (Neutral Site),Anthony Taylor,Match Report,,Artur Soares Dias,Match Report
Group stage,1,Sat,12/06/2021,22:00 (20:00),Belgium,1.7,3–0,3,0,,,0.3,Russia,"26,264",Gazprom Arena (Neutral Site),Antonio Matéu Lahoz,Match Report,,,
Group stage,1,Sun,13/06/2021,14:00,England,0.9,1–0,1,0,,,0.3,Croatia,"18,497",Wembley Stadium (Neutral Site),Daniele Orsato,Match Report,,Danny Makkelie,Match Report
Group stage,1,Sun,13/06/2021,19:00 (17:00),Austria,1.4,3–1,3,1,,,0.7,North Macedonia,"9,082",Arena Naţională (Neutral Site),Andreas Ekberg,Match Report,,,
Group stage,1,Sun,13/06/2021,21:00 (20:00),Netherlands,1.4,3–2,1,2,,,0.6,Ukraine,"15,837",Johan Cruyff ArenA (Neutral Site),Felix Brych,Match Report,,Felix Brych,Match Report
Group stage,1,Mon,14/06/2021,14:00,Scotland,1.8,0–2,0,2,,,0.9,Czech Republic,"9,847",Hampden Park (Neutral Site),Daniel Siebert,Match Report,,,
Group stage,1,Mon,14/06/2021,17:00,Poland,1.3,1–2,1,2,,,0.3,Slovakia,"12,862",Gazprom Arena (Neutral Site),Ovidiu Hațegan,Match Report,,Danny Makkelie,Match Report
Group stage,1,Mon,14/06/2021,21:00 (20:00),Spain,1.9,0–0,0,0,,,1.1,Sweden,"10,559",Estadio La Cartuja de Sevilla (Neutral Site),Slavko Vinčič,Match Report,,,
Group stage,1,Tue,15/06/2021,18:00 (17:00),Hungary,0.2,0–3,0,3,,,2.6,Portugal,"55,662",Puskás Aréna (Neutral Site),Cüneyt Çakιr,Match Report,,Björn Kuipers,Match Report
Group stage,1,Tue,15/06/2021,21:00 (20:00),France,0.4,1–0,1,0,,,0.8,Germany,"13,000",Allianz Arena (Neutral Site),Carlos del Cerro,Match Report,,,
Group stage,2,Wed,16/06/2021,16:00 (14:00),Finland,0.9,0–1,0,1,,,1.3,Russia,"24,540",Gazprom Arena (Neutral Site),Danny Makkelie,Match Report,,,
Group stage,2,Wed,16/06/2021,20:00 (17:00),Turkey,1.2,0–2,0,2,,,2.9,Wales,"19,762",Bakı Olimpiya Stadionu (Neutral Site),Artur Soares Dias,Match Report,,,
Group stage,2,Wed,16/06/2021,21:00 (20:00),Italy,1.8,3–0,3,0,,,0.3,Switzerland,"12,445",Stadio Olimpico (Neutral Site),Sergey Karasev,Match Report,,,
Group stage,2,Thu,17/06/2021,16:00 (14:00),Ukraine,3.7,2–1,2,1,,,1.5,North Macedonia,"10,001",Arena Naţională (Neutral Site),Fernando Rapallini,Match Report,,,
Group stage,2,Thu,17/06/2021,18:00 (17:00),Denmark,1.8,1–2,1,2,,,1.1,Belgium,"23,395",Telia Parken (Neutral Site),Björn Kuipers,Match Report,,,
Group stage,2,Thu,17/06/2021,21:00 (20:00),Netherlands,3.3,2–0,2,0,,,0.4,Austria,"15,243",Johan Cruyff ArenA (Neutral Site),Orel Grinfeeld,Match Report,,,
Group stage,2,Fri,18/06/2021,14:00,Sweden,1.8,1–0,1,0,,,0.5,Slovakia,"11,525",Gazprom Arena (Neutral Site),Daniel Siebert,Match Report,,,
Group stage,2,Fri,18/06/2021,17:00,Croatia,1.1,1–1,1,1,,,2,Czech Republic,"5,607",Hampden Park (Neutral Site),Carlos del Cerro,Match Report,,,
Group stage,2,Fri,18/06/2021,20:00,England,0.9,0–0,0,0,,,0.9,Scotland,"20,306",Wembley Stadium (Neutral Site),Antonio Matéu Lahoz,Match Report,,,
Group stage,2,Sat,19/06/2021,15:00 (14:00),Hungary,0.4,1–1,1,1,,,1.7,France,"55,998",Puskás Aréna (Neutral Site),Michael Oliver,Match Report,,,
Group stage,2,Sat,19/06/2021,18:00 (17:00),Portugal,2,2–4,2,4,,,2.1,Germany,"12,926",Allianz Arena (Neutral Site),Anthony Taylor,Match Report,,,
Group stage,2,Sat,19/06/2021,21:00 (20:00),Spain,2.2,1–1,1,1,,,0.6,Poland,"11,742",Estadio La Cartuja de Sevilla (Neutral Site),Daniele Orsato,Match Report,,,
